[2025-08-19 23:31:46,300] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:31:46,306] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:31:46,308] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:31:46,320] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:31:46,320] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:31:46,342] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:31:46,351] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:31:46,352] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:31:46,356] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:31:46,357] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:32:42,358] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:32:43,819] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:32:43,820] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:32:43,821] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:32:53,594] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:32:53,740] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:32:53,740] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:32:53,741] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:32:53,741] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:32:53,744] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:33:43,041] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:33:43,044] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:33:43,044] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:33:43,221] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:33:43,222] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:36:55,880] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:36:55,884] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:36:55,885] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:36:55,886] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:36:56,697] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:36:56,933] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:36:56,934] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:36:56,937] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:36:56,941] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:36:56,950] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:46:08,466] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:46:08,479] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:46:08,479] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:46:08,926] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:46:08,926] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:46:08,927] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:46:09,218] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:46:09,219] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:46:09,230] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:46:09,236] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:46:10,741] [INFO] [ExploreAPI] Incoming request: GET /api/history/RAYMONDLSL
[2025-08-19 23:46:10,757] [INFO] [ExploreAPI] Fetching 5y history for RAYMONDLSL
[2025-08-19 23:46:11,027] [INFO] [ExploreAPI] Incoming request: GET /api/history/RAYMONDLSL
[2025-08-19 23:46:11,028] [INFO] [ExploreAPI] Fetching 5y history for RAYMONDLSL
[2025-08-19 23:49:52,746] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:49:52,752] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:49:52,753] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:49:52,756] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:49:52,768] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:49:53,815] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:49:53,819] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:49:53,820] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:49:53,821] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:49:53,822] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:50:18,923] [INFO] [ExploreAPI] Incoming request: GET /api/history/HYUNDAI
[2025-08-19 23:50:18,924] [INFO] [ExploreAPI] Fetching 5y history for HYUNDAI
[2025-08-19 23:50:19,255] [INFO] [ExploreAPI] Incoming request: GET /api/history/HYUNDAI
[2025-08-19 23:50:19,256] [INFO] [ExploreAPI] Fetching 5y history for HYUNDAI
[2025-08-19 23:50:22,015] [INFO] [ExploreAPI] Incoming request: GET /api/history/HYUNDAI
[2025-08-19 23:50:22,019] [INFO] [ExploreAPI] Fetching 3y history for HYUNDAI
[2025-08-19 23:50:22,861] [INFO] [ExploreAPI] Incoming request: GET /api/history/HYUNDAI
[2025-08-19 23:50:22,863] [INFO] [ExploreAPI] Fetching 1y history for HYUNDAI
[2025-08-19 23:51:01,842] [INFO] [ExploreAPI] Incoming request: GET /api/history/HYUNDAI
[2025-08-19 23:51:01,861] [INFO] [ExploreAPI] Fetching 3m history for HYUNDAI
[2025-08-19 23:52:18,130] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:52:18,134] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:52:18,134] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:52:18,135] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:52:18,723] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:52:18,874] [INFO] [ExploreAPI] Incoming request: GET /mkt/banknifty
[2025-08-19 23:52:18,877] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-19 23:52:18,884] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
[2025-08-19 23:52:18,885] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-19 23:52:18,889] [INFO] [ExploreAPI] Incoming request: GET /mkt/midcap
[2025-08-19 23:52:34,702] [INFO] [ExploreAPI] Incoming request: GET /api/history/RAYMONDLSL
[2025-08-19 23:52:34,704] [INFO] [ExploreAPI] Fetching 5y history for RAYMONDLSL
[2025-08-19 23:52:34,978] [INFO] [ExploreAPI] Incoming request: GET /api/history/RAYMONDLSL
[2025-08-19 23:52:34,980] [INFO] [ExploreAPI] Fetching 5y history for RAYMONDLSL
[2025-08-20 00:09:40,203] [INFO] [ExploreAPI] Incoming request: GET /mkt/movers
[2025-08-20 00:10:01,540] [INFO] [ExploreAPI] Incoming request: GET /mkt/nifty50
[2025-08-20 00:10:01,821] [INFO] [ExploreAPI] Incoming request: GET /mkt/sensex
